VEHICLE_ID,MODEL_NAME,VARIANT,EMISSION_STANDARD,FUEL,COLOUR,VEHICLE_CLASS,MAKE_YEAR,SEAT_CAPACITY,IS_ELECTRIC
a75531e41877ef1299382b65f9b802637300500dcb338cbed8cf7c8a1e9bfdc0,CBHORNET,160R EAS W F DISC REARDRUM BRAKE BSIV,BSIV,PETROL,MAT AXIS GRAY METALLIC,MOTOR CYCLE,01/02/2018,2,false
a75991ea8a4165421c1d122383047f4cd2787f4553481eeaddebfa693c3af25b,MAHINDRA,MARAZZO 7ST M8 BSIV,BSIV,DIESEL,AQUA MARINE,MOTOR CAR,01/12/2018,7,false
a75ff2d149d839f8e1610b2caeaffe6fe9720cdcd887e68dbcfbbf54e3ddd8ba,MARUTI,IGNIS ZETA PETROL BSIV,BSIV,PETROL,TINSEL BLUE (ROOF BLACK),MOTOR CAR,01/08/2018,5,false
a7ae26e70337aec51fae8460ee601aea1c1467f3dab069ca0a6d0f49426e56ec,DUET,(TELESCOPIC FORK) BSIV,BSIV,PETROL,CANDY BLAZING RED,MOTOR CYCLE,01/02/2018,2,false
a7b1a1dca972117ac60d9ae82bf565d611ec248957e08f546f3864a3ca452369,AMAZE,1.5 S CVT(I-DTEC) BSIV,BSIV,DIESEL,LUNAR SILVER METALLIC,MOTOR CAR,01/01/2019,5,false
a7b655c8495f58fff83ec262959684d08f2cd8cd2f878ec28dec7e22690eab60,DIO,WEAS KS DRUM CBS WITH SHEET WHEEL BSIV,BSIV,PETROL,CANDY JAZZY BLUE,MOTOR CYCLE,01/10/2018,2,false
a7b9da462176e0d09365afbf70cdd4e0b9fbf7d522c384797f30942ad9fdd078,PASSION,PRO 110 (DISC-SELF-CAST) BSIV,BSIV,PETROL,SRD,MOTOR CYCLE,01/09/2018,2,false
a7bd52b57421e844a3f3562b440c64812127cc4733bca4ac5677e7438148522d,GLAMOUR,- (HE) (DRUM-SELF-CAST) BSIV,BSIV,PETROL,SPORTS RED BLACK,MOTOR CYCLE,01/10/2018,2,false
a7c671a27d0a0077284cc71222e9e10737060e95f1658158b54c719f44809303,CB,SHINE W F DISC B K S E S W CAST WHEELS BSIV,BSIV,PETROL,BLACK RED,MOTOR CYCLE,01/08/2018,2,false
a7ed955360dfec6bf942a4f92e9b64a9a4ca97d09774952bee6c4789164ec38d,TATA,TIAGO XZ 1.05 RTQ BSIV,BSIV,DIESEL,PEARLSENT_WH,MOTOR CAR,01/09/2018,5,false
a7ed9d74a95113db575b21460097bb9c7cf2e88ce433ac829ae89d8ee6fed644,TVS,VICTOR BSIV,BSIV,PETROL,PBLK+GOLD,MOTOR CYCLE,01/07/2018,2,false
a7f2586fec1f04c8fe3bf0f63143d3c61db4e13bb876e10ea277bd0a74ce6f74,APE,CITY DIESEL BSIV,BSIV,DIESEL,G.YELLOW,Auto Rickshaw,01/06/2018,4,false
a7fd25f53cd83c11718d86689d0ccc3b10aa575325190877c421dc64c7c52353,RENAULT,KWID RXT 1.0 EASY-R CLIMBER BSIV,BSIV,PETROL,BLUE,MOTOR CAR,01/11/2018,5,false
a8143504233a6fb2d54332a870291b0db5720f02160f3b96b8383353452ef5c0,5 TONS 2WH SEMI TRAILER TIPPING IRON BODY,TRAILER/TIPPER/TRACTOR/TANKER,UNKNOWN,UNKNOWN,GREEN & YELLOW,Trailer For Commercial Use,01/08/2018,0,false
a82c7bb38833b16df4a01a4307aaed6d5621d3a221dc448f0c64343b3fb59bf1,MARUTI,BALENO RS PETROL BSIV,BSIV,PETROL,RAY BLUE,MOTOR CAR,01/08/2018,5,false
a830854a3c9ee1dbb52ef926e656c149c25b5a1857519d0737e4deb4a53be0f5,BHARATBENZ,2523C - 2 BSIV,BSIV,DIESEL,YELLOW,Goods Carriage,01/10/2018,3,false
a834aca7ddb5217b5e06893e80e7eaf6f8670700d093999bf2c5a367e64dac8e,JAZZ-1.2,V CVT (I-VTEC) BSIV,BSIV,PETROL,GOLDEN BROWN,MOTOR CAR,01/07/2018,5,false
a86ab3a7edf967d48f6d12d93d4cabc0eb47d26c10120937acba3edbfe56695f,TATALPT1109HEX2/48,TC CAB W/O LB 12990GVW BSIV,BSIV,DIESEL,GOLDEN BROWN,Chassis Transport,01/08/2018,2,false
a8b865d6724e858b08e626c66c0ef308677e137d38cae8b7cc799858a5b18186,TVS,SCOOTY PEP+ BSIV,BSIV,PETROL,BLACK,MOTOR CYCLE,01/03/2018,2,false
a8c95dd675c88adafdf27dcc8f7bc6fd6653373243036b6d73dafb4aec486e98,TVS,VICTOR BSIV,BSIV,PETROL,MATTE BLUE,MOTOR CYCLE,01/03/2018,2,false
a8dad6a987ba9d06d1103c3d6bfb8eb8303bbdc0d5932882c7983079bfabb894,RENAULT,KWID RXT 1.0EASY-R LIMITED EDITION BSIV,BSIV,PETROL,RED,MOTOR CAR,01/04/2018,5,false
a8f2add70aa2a920eb289137e748f3be206402d93c9afb19998938e3f2440411,MARUTI-VITARA,BREEZA ZDI+ AMT BSIV,BSIV,DIESEL,PEARL ARCTIC WHITE,MOTOR CAR,01/09/2018,5,false
a8f323517316564a47449b3a32599197b2cd291544abc6264c25e2513495a313,RAPID,STYLE - AT (81 KW TDI CR) BSIV,BSIV,DIESEL,CANDY WHITE,MOTOR CAR,01/08/2018,5,false
a8f6f018a196e2012e4ee113407351dcec19f1841b720f127727177c96704b93,XCENT,1.2 CRDI SX BSIV,BSIV,DIESEL,POLAR WHITE,MOTOR CAR,01/07/2018,5,false
a904a933c5258f4d8569ac38a1a93fb9a3ef1c4ccc2e9e22e95ddb22d8a28a69,MAHINDRA,BOLERO PICK UP CBC PS 1.5 T BSIV,BSIV,DIESEL,WHITE,Goods Carriage,01/08/2018,2,false
a90cf12f20eeb1b346fe09b32d4118ab7c7d0282a82ad6cf3542aad999b0af48,APE,CITY DIESEL BSIV,BSIV,DIESEL,G.YELLOW,Auto Rickshaw,01/05/2018,4,false
a9128146978d3684d12563ed1a5566263909b6db20cb340ca4ce2ab174d6758b,MAHINDRA,XUV5OO FWD W5 BSIV,BSIV,DIESEL,WHITE,Motor Cab,01/08/2018,7,false
