MANUFACTURER_ID,MAKER_NAME
1f490865f569e1cf43ddc98faa0e5b9ad1cc4f15df0bc6d297e5343c0c06fc78,M/S. SRISAI ENGINEERING WORKS RRD
1f89187d58637fdb6d8d760081f42ea4a20dc540a515b22bb2e02821f6f35d3a,SRI DURGA BHAVANI ENGG WORKS
2012b615eee760fbe0f1afc51e3086bd77c033b11620d489da8097536e379874,TATA MOTORS LIMITED
2191c6606e35af7cd0d756efada38f0cffc060824416a37f3cca2d9a4e98cf48,M/S  SRI  VEERA  GANAPATHI  ENGINEERING  WORKS  KH
21ba332383b69552fc2efdb3d3c31c15bc35062322d6a74dc81f2718a81b76ac,M/S SRI MANIKANTA ENGINEERING WORKS
224144ec7ad3337644da2fbd492ee0ebf8b03f6d9d7c01a0d389cffef1fc532d,PADMASRINIVASACLUTCH ENGG WORK
235764854f62a575760c26d33787b26d160913519c8318d4d9e9315bf8d033a6,M/S TRV INDUSTRIES
2372db5345bca945624e777e0758203c123320f7ff4ab7c39d2173f288c65e36,M/S DIAMOND ENGG WORKS
242cc0cc76b6620b6390dca66baeda187b7076dcbb103d98478eeb299dff5e83,"M/S SRI HANUMAN GENERAL ENGINEERING WORKS,"
24907497bce0257d550b0b327c0970c96e2d27f91b670d5ae0a9a7cd38256b93,SRI SAI ENGG WORKS METPALLY
260dd1f7fd2a50c5887df05d72b905c16f8b5bc50fe97664d6aa5af877061561,M/S SRI HANUMAN AGRO INDUSTRIES
2835027006d419d78787e18c7f684ec7df0fdc65cec177059c38380c2dcba060,M/S TRINADH ENGINEERING WORKS
2893db9e77ad31cbfc51106a39253903a78416c6fdfd825596caec5709735792,RAVI ENGG WORKS KODAD NLG
2a03475f46978c6732e1b8694be417caf0d0a9f7228a9d685b4271f1fd005cb6,MOTOROYALE KINETIC PRIVATE LIMITED
2a38dc9b3b7e776e2aafefa385a59d6247639db0ad6ae81867436708980d5671,K.S AGROTECH
2b24ff979ef8debe3cd41cee02e98779cc8132f20ea8348807214522bf6f37ef,ATUL AUTO LTD
